host,home,year,category,anti_avoidance_rule,appl_max,conduit,min_rate_max,rate_shopping,min_rate_max_no_aa,rate_shopping_no_aa,min_available,min_available_no_aa,rate_weighted_mean,advantage_over_rest,equally_more_advantageous_conduit_exists,treaty_in_place
COL,ESP,2015,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2015,interest_general,NA,10,0,15,0,15,0,10,10,31.025444806510283,21.025444806510283,0,1
COL,ESP,2015,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2015,royalties_general,NA,10,0,10,0,10,0,10,10,31.0029178716834,21.0029178716834,0,1
COL,ESP,2015,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2015,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2016,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2016,interest_general,NA,10,0,15,0,15,0,10,10,30.803219720034598,20.803219720034598,0,1
COL,ESP,2016,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2016,royalties_general,NA,10,0,10,0,10,0,10,10,30.780692785207716,20.780692785207716,0,1
COL,ESP,2016,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2016,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2017,dividends_subst,NA,0,1,0,0,0,0,0,0,4.7856757130844905,4.7856757130844905,1,1
COL,ESP,2017,interest_general,NA,10,0,15,0,15,0,10,10,14.540068844654645,4.540068844654645,0,1
COL,ESP,2017,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2017,royalties_general,NA,10,0,10,0,10,0,10,10,24.817537464235066,14.817537464235066,0,1
COL,ESP,2017,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2017,technical_services,NA,10,1,10,0,10,0,10,10,14.517541909827765,4.517541909827765,1,1
COL,ESP,2018,dividends_subst,NA,0,1,0,0,0,0,0,0,4.7856757130844905,4.7856757130844905,1,1
COL,ESP,2018,interest_general,NA,10,0,15,0,15,0,10,10,14.540068844654645,4.540068844654645,0,1
COL,ESP,2018,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2018,royalties_general,NA,10,0,10,0,10,0,10,10,24.817537464235066,14.817537464235066,0,1
COL,ESP,2018,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2018,technical_services,NA,10,1,10,0,10,0,10,10,14.517541909827765,4.517541909827765,1,1
COL,ESP,2019,dividends_subst,NA,0,1,0,0,0,0,0,0,7.057247370707985,7.057247370707985,1,1
COL,ESP,2019,interest_general,NA,10,0,15,0,15,0,10,10,19.057610754482408,9.057610754482408,0,1
COL,ESP,2019,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2019,royalties_general,NA,10,0,10,0,10,0,10,10,19.03508381965553,9.03508381965553,0,1
COL,ESP,2019,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2019,technical_services,NA,10,1,10,0,10,0,10,10,19.03508381965553,9.03508381965553,1,1
COL,ESP,2020,dividends_subst,NA,0,1,0,0,0,0,0,0,9.200672135993603,9.200672135993603,1,1
COL,ESP,2020,interest_general,NA,10,0,15,0,15,0,10,10,18.80131696980666,8.80131696980666,0,1
COL,ESP,2020,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2020,royalties_general,NA,10,0,10,0,10,0,10,10,18.778790034979778,8.778790034979778,0,1
COL,ESP,2020,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2020,technical_services,NA,10,1,0,10,10,0,0,10,18.52249625030403,8.52249625030403,1,1
COL,ESP,2021,dividends_subst,NA,0,0,0,0,0,0,0,0,9.200672135993603,9.200672135993603,0,1
COL,ESP,2021,interest_general,NA,10,0,15,0,15,0,10,10,18.80131696980666,8.80131696980666,0,1
COL,ESP,2021,land_rich,NA,10,0,10,0,10,0,10,10,10,0,0,1
