ctry1,ctry2,name,Status,Conclusion,Entry,Effective,Termination,ctry1_iso,ctry2_iso,paircode
Switzerland,Yemen,Income Tax Treaty(1963),Status: Terminated,1963,1961,1961,NA,CHE,YEM,CHE - YEM
Algeria,France,"Income, Inheritance, Registration and Stamp Tax Treaty(1982)",Status: Terminated,1982,1984,1984,2002,DZA,FRA,DZA - FRA
Bahrain,Egypt,Income Tax Treaty(1997),Status: Terminated,1997,1999,2000,2019,BHR,EGY,BHR - EGY
Belgium,Morocco,Income Tax Treaty(1972),Status: Terminated,1972,1975,1975,2010,BEL,MAR,BEL - MAR
Belgium,Tunisia,Income and Capital Tax Treaty(1975),Status: Terminated,1975,1976,1976,2010,BEL,TUN,BEL - TUN
Botswana,South Africa,Income Tax Treaty(1977),Status: Terminated,1977,1978,1974,2005,BWA,ZAF,BWA - ZAF
Botswana,United Kingdom,Income Tax Treaty(1977),Status: Terminated,1977,1978,1976,2007,BWA,GBR,BWA - GBR
Comoros Islands,France,"Income, Inheritance, Registration and Stamp Tax Treaty(1970)","Status: Terminated
Conclusion Date: 27 March 1970/8 June 1970. 
Entry into Force: 23 June 1971 (see NOTE). 
Effective Date: 1 January 1968 (income);23 June 1971 (succession and registration) (see Article 42). 
Termination Date: 1 January 1992.
Note:  This Convention continues to apply to the island of Mayotte. With effect from 2010, Mayotte has become a French overseas department (Département d'Outre Mer, DOM) instead of its former status of French overseas territory (Territoire d'Outre Mer, TOM). According to the French tax authorities, (Guideline 14 B-1-93 of 13 January 1993), this Convention no longer applies to the Federal Islamic Republic of the Comoros since its independence, 3 January 1976. However, France continues to apply its provisions to Comoros-source income attributed, at the latest, to 1991 or to an accounting period closed in 1991. There is no indication as to whether the same applies to French-source income derived by residents of the Comoros. 
NOTE 1:  The treaty article headings reproduced below are unofficial headings prepared by IBFD based on the topic of the treaty articles.
",NA,NA,NA,NA,COM,FRA,COM - FRA
Congo (Rep.),France,"Income, Inheritance, Registration and Stamp Tax Treaty(1967)",Status: Terminated,1967,1969,1969,1989,COG,FRA,COG - FRA
Cyprus,Egypt,Income Tax Treaty(1993),Status: Terminated,1993,1995,1996,2021,CYP,EGY,CYP - EGY
Cyprus,South Africa,Income Tax Treaty(1960),Status: Terminated,1960,1960,1951,NA,CYP,ZAF,CYP - ZAF
