year,value,host,type_fdi,home,indicator
2010,NA,LKA,total,ESP,million_USD
2011,NA,LKA,total,ESP,million_USD
2012,NA,LKA,total,ESP,million_USD
2013,NA,LKA,total,ESP,million_USD
2014,NA,LKA,total,ESP,million_USD
2015,NA,LKA,total,ESP,million_USD
2016,NA,LKA,total,ESP,million_USD
2017,NA,LKA,total,ESP,million_USD
2018,NA,LKA,total,ESP,million_USD
2019,NA,LKA,total,ESP,million_USD
2007,558.4015831770987,ZAF,total,ESP,million_USD
2008,515.602502048026,ZAF,total,ESP,million_USD
2009,610.6215426845087,ZAF,total,ESP,million_USD
2010,730.2179875886409,ZAF,total,ESP,million_USD
2011,614.659513873616,ZAF,total,ESP,million_USD
2012,561.4398885831091,ZAF,total,ESP,million_USD
2013,444.54774253099487,ZAF,total,ESP,million_USD
2014,462.0659786802138,ZAF,total,ESP,million_USD
2015,364.33091903214927,ZAF,total,ESP,million_USD
2016,466.32743759553955,ZAF,total,ESP,million_USD
2017,2.3949227637408694,ZAF,total,ESP,million_USD
2018,2.7752420070077815,ZAF,total,ESP,million_USD
2019,14.03821439286402,ZAF,total,ESP,million_USD
2007,43.00562444495609,THA,total,ESP,million_USD
2008,304.0932576188774,THA,total,ESP,million_USD
2009,412.0743474513152,THA,total,ESP,million_USD
2010,105.03653012227085,THA,total,ESP,million_USD
2011,170.4309771246106,THA,total,ESP,million_USD
2012,360.4860613255424,THA,total,ESP,million_USD
2013,0.7835897708331949,THA,total,ESP,million_USD
2014,1.0362308828687123,THA,total,ESP,million_USD
2015,1.0540377412082158,THA,total,ESP,million_USD
2016,1.195455939146865,THA,total,ESP,million_USD
2017,NA,THA,total,ESP,million_USD
2018,NA,THA,total,ESP,million_USD
2019,NA,THA,total,ESP,million_USD
2007,37.3044326765999,TZA,total,ESP,million_USD
2008,46.37289810757982,TZA,total,ESP,million_USD
2009,39.8349694124342,TZA,total,ESP,million_USD
2010,41.587731287840924,TZA,total,ESP,million_USD
2011,33.379082256192106,TZA,total,ESP,million_USD
2012,30.822085006770838,TZA,total,ESP,million_USD
2013,28.262356480220998,TZA,total,ESP,million_USD
2014,27.088138079093646,TZA,total,ESP,million_USD
2015,20.426141911203423,TZA,total,ESP,million_USD
2016,20.422372293758944,TZA,total,ESP,million_USD
2017,18.66232266839583,TZA,total,ESP,million_USD
2018,NA,TZA,total,ESP,million_USD
2019,NA,TZA,total,ESP,million_USD
2007,0,TTO,total,ESP,million_USD
2008,NA,TTO,total,ESP,million_USD
2009,0,TTO,total,ESP,million_USD
2010,0.10605733194221466,TTO,total,ESP,million_USD
2011,-0.08351730339330804,TTO,total,ESP,million_USD
2012,0.02569577741289774,TTO,total,ESP,million_USD
2013,0.11953064300845348,TTO,total,ESP,million_USD
2014,0.039855033956488935,TTO,total,ESP,million_USD
2015,0.011095134117981218,TTO,total,ESP,million_USD
2016,0.011069036473582084,TTO,total,ESP,million_USD
2017,0,TTO,total,ESP,million_USD
2018,0,TTO,total,ESP,million_USD
2019,0,TTO,total,ESP,million_USD
2007,89.78006556370534,TUN,total,ESP,million_USD
2008,92.45164525983088,TUN,total,ESP,million_USD
2009,88.70812516214339,TUN,total,ESP,million_USD
2010,85.73409570878778,TUN,total,ESP,million_USD
2011,84.93709755099427,TUN,total,ESP,million_USD
2012,NA,TUN,total,ESP,million_USD
2013,NA,TUN,total,ESP,million_USD
2014,NA,TUN,total,ESP,million_USD
2015,NA,TUN,total,ESP,million_USD
2016,NA,TUN,total,ESP,million_USD
2017,NA,TUN,total,ESP,million_USD
2018,NA,TUN,total,ESP,million_USD
2019,NA,TUN,total,ESP,million_USD
2007,NA,UGA,total,ESP,million_USD
2008,NA,UGA,total,ESP,million_USD
2009,NA,UGA,total,ESP,million_USD
2010,NA,UGA,total,ESP,million_USD
2011,NA,UGA,total,ESP,million_USD
2012,NA,UGA,total,ESP,million_USD
2013,NA,UGA,total,ESP,million_USD
2014,NA,UGA,total,ESP,million_USD
2015,0,UGA,total,ESP,million_USD
2016,5.800175112157011,UGA,total,ESP,million_USD
2017,7.083097041818514,UGA,total,ESP,million_USD
2018,NA,UGA,total,ESP,million_USD
2019,NA,UGA,total,ESP,million_USD
2007,0,UKR,total,ESP,million_USD
2008,0,UKR,total,ESP,million_USD
2009,0,UKR,total,ESP,million_USD
2010,NA,UKR,total,ESP,million_USD
2011,0,UKR,total,ESP,million_USD
2012,0,UKR,total,ESP,million_USD
2013,NA,UKR,total,ESP,million_USD
2014,NA,UKR,total,ESP,million_USD
2015,0,UKR,total,ESP,million_USD
2016,0.0664142188414925,UKR,total,ESP,million_USD
2017,0.11296805489343723,UKR,total,ESP,million_USD
2018,0,UKR,total,ESP,million_USD
2019,0.16792122479502417,UKR,total,ESP,million_USD
2007,NA,UZB,total,ESP,million_USD
2008,NA,UZB,total,ESP,million_USD
2009,NA,UZB,total,ESP,million_USD
2010,NA,UZB,total,ESP,million_USD
2011,NA,UZB,total,ESP,million_USD
2012,0,UZB,total,ESP,million_USD
2013,NA,UZB,total,ESP,million_USD
2014,NA,UZB,total,ESP,million_USD
2015,NA,UZB,total,ESP,million_USD
2016,NA,UZB,total,ESP,million_USD
2017,NA,UZB,total,ESP,million_USD
2018,NA,UZB,total,ESP,million_USD
2019,6.593706760284616,UZB,total,ESP,million_USD
2007,1634.3507767873784,VEN,total,ESP,million_USD
2008,2790.624820751761,VEN,total,ESP,million_USD
2009,3332.315142588548,VEN,total,ESP,million_USD
2010,3256.039633624947,VEN,total,ESP,million_USD
2011,3752.0287744949296,VEN,total,ESP,million_USD
2012,4704.292993532373,VEN,total,ESP,million_USD
2013,3861.2514858322993,VEN,total,ESP,million_USD
2014,940.485806293907,VEN,total,ESP,million_USD
2015,485.4232127957963,VEN,total,ESP,million_USD
2016,5656.310845109866,VEN,total,ESP,million_USD
2017,2294.2908204417954,VEN,total,ESP,million_USD
2018,968.6775558502691,VEN,total,ESP,million_USD
2019,101.4580040211536,VEN,total,ESP,million_USD
2007,NA,VNM,total,ESP,million_USD
2008,NA,VNM,total,ESP,million_USD
2009,0,VNM,total,ESP,million_USD
2010,NA,VNM,total,ESP,million_USD
2011,NA,VNM,total,ESP,million_USD
2012,NA,VNM,total,ESP,million_USD
2013,NA,VNM,total,ESP,million_USD
2014,1.2089360300134977,VNM,total,ESP,million_USD
2015,1.220464752977934,VNM,total,ESP,million_USD
2016,0,VNM,total,ESP,million_USD
2017,NA,VNM,total,ESP,million_USD
2018,1.6297165828386122,VNM,total,ESP,million_USD
2019,1.612043758032232,VNM,total,ESP,million_USD
2007,NA,ZMB,total,ESP,million_USD
2008,NA,ZMB,total,ESP,million_USD
2009,NA,ZMB,total,ESP,million_USD
2010,NA,ZMB,total,ESP,million_USD
2011,NA,ZMB,total,ESP,million_USD
2012,NA,ZMB,total,ESP,million_USD
2013,NA,ZMB,total,ESP,million_USD
2014,NA,ZMB,total,ESP,million_USD
2015,NA,ZMB,total,ESP,million_USD
2016,NA,ZMB,total,ESP,million_USD
2017,NA,ZMB,total,ESP,million_USD
2018,NA,ZMB,total,ESP,million_USD
2019,NA,ZMB,total,ESP,million_USD
2007,-0.5756010919975002,ZWE,total,ESP,million_USD
2008,0,ZWE,total,ESP,million_USD
2009,0,ZWE,total,ESP,million_USD
2010,NA,ZWE,total,ESP,million_USD
2011,NA,ZWE,total,ESP,million_USD
2012,NA,ZWE,total,ESP,million_USD
2013,NA,ZWE,total,ESP,million_USD
2014,NA,ZWE,total,ESP,million_USD
2015,51.958513074506044,ZWE,total,ESP,million_USD
2016,58.51092679935489,ZWE,total,ESP,million_USD
2017,48.282546661455065,ZWE,total,ESP,million_USD
2018,NA,ZWE,total,ESP,million_USD
2019,NA,ZWE,total,ESP,million_USD
