iso3c,year,category,conduit
ALA,2021,dividends_subst,NA
ALA,2021,interest_general,NA
ALA,2021,royalties_general,NA
ALA,2021,technical_services,NA
ALA,2021,shares,NA
ALA,2021,land_rich,NA
ALB,2004,dividends_subst,NA
ALB,2004,interest_general,NA
ALB,2004,royalties_general,NA
ALB,2004,technical_services,1
ALB,2004,shares,NA
ALB,2004,land_rich,NA
ALB,2005,dividends_subst,NA
ALB,2005,interest_general,NA
ALB,2005,royalties_general,NA
ALB,2005,technical_services,NA
ALB,2005,shares,NA
ALB,2005,land_rich,NA
ALB,2006,dividends_subst,NA
ALB,2006,interest_general,NA
ALB,2006,royalties_general,NA
ALB,2006,technical_services,NA
ALB,2006,shares,NA
ALB,2006,land_rich,NA
ALB,2007,dividends_subst,NA
ALB,2007,interest_general,NA
ALB,2007,royalties_general,NA
ALB,2007,technical_services,NA
ALB,2007,shares,NA
ALB,2007,land_rich,NA
ALB,2008,dividends_subst,NA
ALB,2008,interest_general,NA
ALB,2008,royalties_general,NA
ALB,2008,technical_services,NA
ALB,2008,shares,NA
ALB,2008,land_rich,NA
ALB,2009,dividends_subst,NA
ALB,2009,interest_general,NA
ALB,2009,royalties_general,NA
ALB,2009,technical_services,NA
ALB,2009,shares,NA
ALB,2009,land_rich,NA
ALB,2010,dividends_subst,NA
ALB,2010,interest_general,NA
ALB,2010,royalties_general,NA
ALB,2010,technical_services,NA
ALB,2010,shares,NA
ALB,2010,land_rich,NA
ALB,2011,dividends_subst,NA
ALB,2011,interest_general,NA
ALB,2011,royalties_general,NA
ALB,2011,technical_services,NA
ALB,2011,shares,NA
ALB,2011,land_rich,NA
ALB,2012,dividends_subst,NA
ALB,2012,interest_general,NA
ALB,2012,royalties_general,NA
ALB,2012,technical_services,NA
ALB,2012,shares,NA
ALB,2012,land_rich,NA
ALB,2013,dividends_subst,NA
ALB,2013,interest_general,NA
ALB,2013,royalties_general,NA
ALB,2013,technical_services,NA
ALB,2013,shares,NA
ALB,2013,land_rich,NA
ALB,2014,dividends_subst,NA
ALB,2014,interest_general,NA
ALB,2014,royalties_general,NA
ALB,2014,technical_services,NA
ALB,2014,shares,NA
ALB,2014,land_rich,NA
ALB,2015,dividends_subst,NA
ALB,2015,interest_general,NA
ALB,2015,royalties_general,NA
ALB,2015,technical_services,NA
ALB,2015,shares,NA
ALB,2015,land_rich,NA
ALB,2016,dividends_subst,NA
ALB,2016,interest_general,NA
ALB,2016,royalties_general,NA
ALB,2016,technical_services,NA
ALB,2016,shares,NA
ALB,2016,land_rich,NA
ALB,2017,dividends_subst,NA
ALB,2017,interest_general,NA
ALB,2017,royalties_general,NA
ALB,2017,technical_services,NA
ALB,2017,shares,NA
ALB,2017,land_rich,NA
ALB,2018,dividends_subst,NA
ALB,2018,interest_general,NA
ALB,2018,royalties_general,NA
ALB,2018,technical_services,NA
ALB,2018,shares,NA
ALB,2018,land_rich,NA
ALB,2019,dividends_subst,NA
ALB,2019,interest_general,NA
ALB,2019,royalties_general,NA
ALB,2019,technical_services,NA
ALB,2019,shares,NA
ALB,2019,land_rich,NA
ALB,2020,dividends_subst,NA
ALB,2020,interest_general,NA
ALB,2020,royalties_general,NA
ALB,2020,technical_services,NA
ALB,2020,shares,NA
ALB,2020,land_rich,NA
ALB,2021,dividends_subst,NA
ALB,2021,interest_general,NA
ALB,2021,royalties_general,NA
ALB,2021,technical_services,NA
ALB,2021,shares,NA
ALB,2021,land_rich,NA
DZA,2004,dividends_subst,NA
DZA,2004,interest_general,NA
DZA,2004,royalties_general,NA
DZA,2004,technical_services,NA
DZA,2004,shares,NA
DZA,2004,land_rich,NA
DZA,2005,dividends_subst,NA
DZA,2005,interest_general,NA
DZA,2005,royalties_general,NA
DZA,2005,technical_services,NA
DZA,2005,shares,NA
DZA,2005,land_rich,NA
DZA,2006,dividends_subst,NA
DZA,2006,interest_general,NA
DZA,2006,royalties_general,NA
DZA,2006,technical_services,NA
DZA,2006,shares,NA
DZA,2006,land_rich,NA
DZA,2007,dividends_subst,NA
DZA,2007,interest_general,NA
DZA,2007,royalties_general,NA
DZA,2007,technical_services,NA
DZA,2007,shares,NA
DZA,2007,land_rich,NA
DZA,2008,dividends_subst,NA
DZA,2008,interest_general,NA
DZA,2008,royalties_general,NA
DZA,2008,technical_services,NA
DZA,2008,shares,NA
DZA,2008,land_rich,NA
DZA,2009,dividends_subst,NA
DZA,2009,interest_general,NA
DZA,2009,royalties_general,NA
DZA,2009,technical_services,NA
DZA,2009,shares,NA
DZA,2009,land_rich,NA
DZA,2010,dividends_subst,NA
DZA,2010,interest_general,NA
DZA,2010,royalties_general,NA
DZA,2010,technical_services,NA
DZA,2010,shares,NA
DZA,2010,land_rich,NA
DZA,2011,dividends_subst,NA
DZA,2011,interest_general,NA
DZA,2011,royalties_general,NA
DZA,2011,technical_services,NA
DZA,2011,shares,NA
DZA,2011,land_rich,NA
DZA,2012,dividends_subst,NA
DZA,2012,interest_general,NA
DZA,2012,royalties_general,NA
DZA,2012,technical_services,NA
DZA,2012,shares,NA
DZA,2012,land_rich,NA
DZA,2013,dividends_subst,NA
DZA,2013,interest_general,NA
DZA,2013,royalties_general,NA
DZA,2013,technical_services,NA
DZA,2013,shares,NA
DZA,2013,land_rich,NA
DZA,2014,dividends_subst,NA
DZA,2014,interest_general,NA
DZA,2014,royalties_general,NA
DZA,2014,technical_services,NA
DZA,2014,shares,NA
DZA,2014,land_rich,NA
DZA,2015,dividends_subst,NA
DZA,2015,interest_general,NA
DZA,2015,royalties_general,NA
DZA,2015,technical_services,NA
DZA,2015,shares,NA
DZA,2015,land_rich,NA
DZA,2016,dividends_subst,NA
DZA,2016,interest_general,NA
DZA,2016,royalties_general,NA
DZA,2016,technical_services,NA
DZA,2016,shares,NA
DZA,2016,land_rich,NA
DZA,2017,dividends_subst,NA
DZA,2017,interest_general,NA
DZA,2017,royalties_general,NA
DZA,2017,technical_services,NA
DZA,2017,shares,NA
DZA,2017,land_rich,NA
DZA,2018,dividends_subst,NA
DZA,2018,interest_general,NA
DZA,2018,royalties_general,NA
DZA,2018,technical_services,NA
DZA,2018,shares,NA
DZA,2018,land_rich,NA
DZA,2019,dividends_subst,NA
DZA,2019,interest_general,NA
DZA,2019,royalties_general,NA
DZA,2019,technical_services,NA
DZA,2019,shares,NA
DZA,2019,land_rich,NA
DZA,2020,dividends_subst,NA
DZA,2020,interest_general,NA
DZA,2020,royalties_general,NA
DZA,2020,technical_services,NA
DZA,2020,shares,NA
DZA,2020,land_rich,NA
DZA,2021,dividends_subst,NA
DZA,2021,interest_general,NA
DZA,2021,royalties_general,NA
DZA,2021,technical_services,NA
DZA,2021,shares,NA
DZA,2021,land_rich,NA
ASM,2004,dividends_subst,NA
ASM,2004,interest_general,NA
ASM,2004,royalties_general,NA
ASM,2004,technical_services,NA
ASM,2004,shares,NA
ASM,2004,land_rich,NA
ASM,2005,dividends_subst,NA
ASM,2005,interest_general,NA
ASM,2005,royalties_general,NA
ASM,2005,technical_services,NA
ASM,2005,shares,NA
ASM,2005,land_rich,NA
ASM,2006,dividends_subst,NA
ASM,2006,interest_general,NA
ASM,2006,royalties_general,NA
ASM,2006,technical_services,NA
ASM,2006,shares,NA
ASM,2006,land_rich,NA
ASM,2007,dividends_subst,NA
ASM,2007,interest_general,NA
ASM,2007,royalties_general,NA
ASM,2007,technical_services,NA
ASM,2007,shares,NA
ASM,2007,land_rich,NA
ASM,2008,dividends_subst,NA
ASM,2008,interest_general,NA
ASM,2008,royalties_general,NA
ASM,2008,technical_services,NA
ASM,2008,shares,NA
ASM,2008,land_rich,NA
ASM,2009,dividends_subst,NA
ASM,2009,interest_general,NA
ASM,2009,royalties_general,NA
ASM,2009,technical_services,NA
ASM,2009,shares,NA
ASM,2009,land_rich,NA
ASM,2010,dividends_subst,NA
ASM,2010,interest_general,NA
