country,start_inventory,cases_started,cases_closed,end_inventory,year,type,months,closing_ratio,portion_if_cases,iso3c
Korea,NA,13,NA,44,2010,all,NA,NA,NA,KOR
Korea,NA,24,NA,59,2011,all,NA,NA,NA,KOR
Korea,NA,22,NA,65,2012,all,NA,NA,NA,KOR
Korea,NA,23,NA,80,2013,all,NA,NA,NA,KOR
Korea,NA,33,NA,98,2014,all,NA,NA,NA,KOR
Korea,NA,42,NA,139,2015,all,NA,NA,NA,KOR
Latvia†,NA,0,NA,NA,2013,all,NA,NA,NA,LVA
Latvia†,NA,NA,NA,NA,2014,all,NA,NA,NA,LVA
Latvia†,NA,3,NA,1,2015,all,NA,NA,NA,LVA
Luxembourg,NA,22,NA,31,2006,all,NA,NA,NA,LUX
Luxembourg,NA,31,NA,34,2007,all,NA,NA,NA,LUX
Luxembourg,NA,31,NA,35,2008,all,NA,NA,NA,LUX
Luxembourg,NA,25,NA,38,2009,all,NA,NA,NA,LUX
Luxembourg,NA,35,NA,59,2010,all,NA,NA,NA,LUX
Luxembourg,NA,75,NA,109,2011,all,NA,NA,NA,LUX
Luxembourg,NA,39,NA,76,2012,all,NA,NA,NA,LUX
Luxembourg,NA,45,NA,72,2013,all,NA,NA,NA,LUX
Luxembourg,NA,116,NA,123,2014,all,NA,NA,NA,LUX
Luxembourg,NA,212,NA,137,2015,all,NA,NA,NA,LUX
Mexico,NA,14,NA,26,2006,all,NA,NA,NA,MEX
Mexico,NA,11,NA,23,2007,all,NA,NA,NA,MEX
Mexico,NA,5,NA,14,2008,all,NA,NA,NA,MEX
Mexico,NA,10,NA,18,2009,all,NA,NA,NA,MEX
Mexico,NA,4,NA,12,2010,all,NA,NA,NA,MEX
Mexico,NA,5,NA,11,2011,all,NA,NA,NA,MEX
Mexico,NA,17,NA,19,2012,all,NA,NA,NA,MEX
Mexico,NA,12,NA,14,2013,all,NA,NA,NA,MEX
Mexico,NA,4,NA,16,2014,all,NA,NA,NA,MEX
Mexico,NA,3,NA,15,2015,all,NA,NA,NA,MEX
Netherlands,NA,80,NA,120,2006,all,NA,NA,NA,NLD
Netherlands,NA,57,NA,151,2007,all,NA,NA,NA,NLD
Netherlands,NA,0,NA,127,2008,all,NA,NA,NA,NLD
Netherlands,NA,64,NA,118,2009,all,NA,NA,NA,NLD
Netherlands,NA,51,NA,97,2010,all,NA,NA,NA,NLD
Netherlands,NA,34,NA,99,2011,all,NA,NA,NA,NLD
Netherlands,NA,83,NA,140,2012,all,NA,NA,NA,NLD
Netherlands,NA,75,NA,123,2013,all,NA,NA,NA,NLD
Netherlands,NA,87,NA,198,2014,all,NA,NA,NA,NLD
Netherlands,NA,128,NA,259,2015,all,NA,NA,NA,NLD
New Zealand,NA,4,NA,2,2006,all,NA,NA,NA,NZL
New Zealand,NA,5,NA,4,2007,all,NA,NA,NA,NZL
New Zealand,NA,2,NA,1,2008,all,NA,NA,NA,NZL
New Zealand,NA,6,NA,3,2009,all,NA,NA,NA,NZL
New Zealand,NA,4,NA,1,2010,all,NA,NA,NA,NZL
New Zealand,NA,4,NA,1,2011,all,NA,NA,NA,NZL
New Zealand,NA,3,NA,3,2012,all,NA,NA,NA,NZL
New Zealand,NA,14,NA,13,2013,all,NA,NA,NA,NZL
New Zealand,NA,28,NA,18,2014,all,NA,NA,NA,NZL
New Zealand,NA,7,NA,7,2015,all,NA,NA,NA,NZL
Norway,NA,15,NA,25,2006,all,NA,NA,NA,NOR
Norway,NA,21,NA,32,2007,all,NA,NA,NA,NOR
Norway,NA,30,NA,42,2008,all,NA,NA,NA,NOR
Norway,NA,21,NA,51,2009,all,NA,NA,NA,NOR
Norway,NA,16,NA,52,2010,all,NA,NA,NA,NOR
Norway,NA,7,NA,44,2011,all,NA,NA,NA,NOR
Norway,NA,10,NA,36,2012,all,NA,NA,NA,NOR
Norway,NA,26,NA,49,2013,all,NA,NA,NA,NOR
Norway,NA,18,NA,48,2014,all,NA,NA,NA,NOR
Norway,NA,33,NA,68,2015,all,NA,NA,NA,NOR
Poland,NA,11,NA,26,2006,all,NA,NA,NA,POL
Poland,NA,7,NA,25,2007,all,NA,NA,NA,POL
Poland,NA,19,NA,33,2008,all,NA,NA,NA,POL
Poland,NA,14,NA,32,2009,all,NA,NA,NA,POL
Poland,NA,7,NA,26,2010,all,NA,NA,NA,POL
Poland,NA,9,NA,28,2011,all,NA,NA,NA,POL
Poland,NA,5,NA,29,2012,all,NA,NA,NA,POL
Poland,NA,19,NA,44,2013,all,NA,NA,NA,POL
Poland,NA,18,NA,40,2014,all,NA,NA,NA,POL
Poland,NA,6,NA,42,2015,all,NA,NA,NA,POL
Portugal,NA,10,NA,43,2006,all,NA,NA,NA,PRT
Portugal,NA,7,NA,45,2007,all,NA,NA,NA,PRT
Portugal,NA,5,NA,47,2008,all,NA,NA,NA,PRT
Portugal,NA,14,NA,47,2009,all,NA,NA,NA,PRT
Portugal,NA,17,NA,41,2010,all,NA,NA,NA,PRT
Portugal,NA,15,NA,42,2011,all,NA,NA,NA,PRT
Portugal,NA,17,NA,47,2012,all,NA,NA,NA,PRT
Portugal,NA,6,NA,27,2013,all,NA,NA,NA,PRT
Portugal,NA,11,NA,27,2014,all,NA,NA,NA,PRT
Portugal,NA,11,NA,31,2015,all,NA,NA,NA,PRT
Slovak Republic,NA,0,NA,1,2006,all,NA,NA,NA,SVK
Slovak Republic,NA,0,NA,4,2007,all,NA,NA,NA,SVK
Slovak Republic,NA,1,NA,5,2008,all,NA,NA,NA,SVK
Slovak Republic,NA,1,NA,6,2009,all,NA,NA,NA,SVK
Slovak Republic,NA,3,NA,7,2010,all,NA,NA,NA,SVK
Slovak Republic,NA,4,NA,9,2011,all,NA,NA,NA,SVK
Slovak Republic,NA,1,NA,9,2012,all,NA,NA,NA,SVK
Slovak Republic,NA,2,NA,15,2013,all,NA,NA,NA,SVK
Slovak Republic,NA,2,NA,14,2014,all,NA,NA,NA,SVK
Slovak Republic,NA,3,NA,21,2015,all,NA,NA,NA,SVK
Slovenia,NA,0,NA,0,2006,all,NA,NA,NA,SVN
Slovenia,NA,0,NA,0,2007,all,NA,NA,NA,SVN
Slovenia,NA,3,NA,3,2008,all,NA,NA,NA,SVN
Slovenia,NA,0,NA,1,2009,all,NA,NA,NA,SVN
Slovenia,NA,2,NA,2,2010,all,NA,NA,NA,SVN
Slovenia,NA,2,NA,4,2011,all,NA,NA,NA,SVN
Slovenia,NA,3,NA,4,2012,all,NA,NA,NA,SVN
Slovenia,NA,6,NA,10,2013,all,NA,NA,NA,SVN
Slovenia,NA,11,NA,16,2014,all,NA,NA,NA,SVN
Slovenia,NA,5,NA,12,2015,all,NA,NA,NA,SVN
Spain,NA,18,NA,55,2006,all,NA,NA,NA,ESP
Spain,NA,67,NA,109,2007,all,NA,NA,NA,ESP
Spain,NA,24,NA,66,2008,all,NA,NA,NA,ESP
Spain,NA,24,NA,76,2009,all,NA,NA,NA,ESP
Spain,NA,24,NA,84,2010,all,NA,NA,NA,ESP
Spain,NA,18,NA,87,2011,all,NA,NA,NA,ESP
Spain,NA,36,NA,82,2012,all,NA,NA,NA,ESP
Spain,NA,25,NA,79,2013,all,NA,NA,NA,ESP
Spain,NA,33,NA,78,2014,all,NA,NA,NA,ESP
Spain,NA,30,NA,93,2015,all,NA,NA,NA,ESP
Sweden,NA,72,NA,94,2006,all,NA,NA,NA,SWE
Sweden,NA,61,NA,100,2007,all,NA,NA,NA,SWE
Sweden,NA,104,NA,125,2008,all,NA,NA,NA,SWE
Sweden,NA,64,NA,103,2009,all,NA,NA,NA,SWE
Sweden,NA,104,NA,134,2010,all,NA,NA,NA,SWE
Sweden,NA,111,NA,163,2011,all,NA,NA,NA,SWE
Sweden,NA,100,NA,198,2012,all,NA,NA,NA,SWE
Sweden,NA,65,NA,183,2013,all,NA,NA,NA,SWE
Sweden,NA,91,NA,186,2014,all,NA,NA,NA,SWE
Sweden,NA,92,NA,192,2015,all,NA,NA,NA,SWE
Switzerland,NA,0,NA,33,2006,all,NA,NA,NA,CHE
Switzerland,NA,45,NA,33,2007,all,NA,NA,NA,CHE
Switzerland,NA,99,NA,88,2008,all,NA,NA,NA,CHE
Switzerland,NA,119,NA,143,2009,all,NA,NA,NA,CHE
Switzerland,NA,65,NA,142,2010,all,NA,NA,NA,CHE
Switzerland,NA,112,NA,187,2011,all,NA,NA,NA,CHE
Switzerland,NA,120,NA,231,2012,all,NA,NA,NA,CHE
Switzerland,NA,131,NA,256,2013,all,NA,NA,NA,CHE
Switzerland,NA,109,NA,271,2014,all,NA,NA,NA,CHE
Switzerland,NA,148,NA,328,2015,all,NA,NA,NA,CHE
Turkey,NA,0,NA,2,2006,all,NA,NA,NA,TUR
Turkey,NA,2,NA,3,2007,all,NA,NA,NA,TUR
Turkey,NA,1,NA,2,2008,all,NA,NA,NA,TUR
Turkey,NA,3,NA,4,2009,all,NA,NA,NA,TUR
Turkey,NA,4,NA,8,2010,all,NA,NA,NA,TUR
Turkey,NA,0,NA,4,2011,all,NA,NA,NA,TUR
Turkey,NA,0,NA,2,2012,all,NA,NA,NA,TUR
Turkey,NA,2,NA,4,2013,all,NA,NA,NA,TUR
Turkey,NA,2,NA,4,2014,all,NA,NA,NA,TUR
Turkey,NA,2,NA,5,2015,all,NA,NA,NA,TUR
United Kingdom,NA,0,NA,84,2006,all,NA,NA,NA,GBR
United Kingdom,NA,55,NA,109,2007,all,NA,NA,NA,GBR
United Kingdom,NA,44,NA,126,2008,all,NA,NA,NA,GBR
United Kingdom,NA,56,NA,120,2009,all,NA,NA,NA,GBR
United Kingdom,NA,68,NA,131,2010,all,NA,NA,NA,GBR
United Kingdom,NA,54,NA,133,2011,all,NA,NA,NA,GBR
United Kingdom,NA,69,NA,143,2012,all,NA,NA,NA,GBR
United Kingdom,NA,79,NA,160,2013,all,NA,NA,NA,GBR
United Kingdom,NA,117,NA,190,2014,all,NA,NA,NA,GBR
United Kingdom,NA,115,NA,229,2015,all,NA,NA,NA,GBR
United States,NA,240,NA,430,2006,all,NA,NA,NA,USA
United States,NA,257,NA,500,2007,all,NA,NA,NA,USA
United States,NA,308,NA,578,2008,all,NA,NA,NA,USA
United States,NA,326,NA,724,2009,all,NA,NA,NA,USA
United States,NA,252,NA,705,2010,all,NA,NA,NA,USA
United States,NA,279,NA,686,2011,all,NA,NA,NA,USA
United States,NA,236,NA,573,2012,all,NA,NA,NA,USA
United States,NA,403,NA,732,2013,all,NA,NA,NA,USA
United States,NA,354,NA,956,2014,all,NA,NA,NA,USA
United States,NA,289,NA,998,2015,all,NA,NA,NA,USA
Argentina,NA,0,NA,0,2006,all,NA,NA,NA,ARG
Argentina,NA,0,NA,0,2007,all,NA,NA,NA,ARG
Argentina,NA,0,NA,2,2008,all,NA,NA,NA,ARG
Argentina,NA,1,NA,3,2009,all,NA,NA,NA,ARG
Argentina,NA,0,NA,3,2010,all,NA,NA,NA,ARG
Argentina,NA,0,NA,NA,2011,all,NA,NA,NA,ARG
Argentina,NA,0,NA,NA,2012,all,NA,NA,NA,ARG
Argentina,NA,0,NA,NA,2013,all,NA,NA,NA,ARG
Argentina,NA,0,NA,NA,2014,all,NA,NA,NA,ARG
Argentina,NA,1,NA,6,2015,all,NA,NA,NA,ARG
China†,NA,23,NA,43,2013,all,NA,NA,NA,CHN
China†,NA,29,NA,55,2014,all,NA,NA,NA,CHN
China†,NA,25,NA,99,2015,all,NA,NA,NA,CHN
Costa Rica‡,NA,1,NA,1,2014,all,NA,NA,NA,CRI
Costa Rica‡,NA,0,NA,0,2015,all,NA,NA,NA,CRI
Lithuania††,NA,0,NA,2,2015,all,NA,NA,NA,LTU
South Africa,NA,0,NA,0,2006,all,NA,NA,NA,ZAF
South Africa,NA,0,NA,0,2007,all,NA,NA,NA,ZAF
South Africa,NA,4,NA,0,2008,all,NA,NA,NA,ZAF
South Africa,NA,1,NA,1,2009,all,NA,NA,NA,ZAF
South Africa,NA,5,NA,4,2010,all,NA,NA,NA,ZAF
South Africa,NA,5,NA,6,2011,all,NA,NA,NA,ZAF
South Africa,NA,3,NA,6,2012,all,NA,NA,NA,ZAF
South Africa,NA,2,NA,6,2013,all,NA,NA,NA,ZAF
South Africa,NA,4,NA,8,2014,all,NA,NA,NA,ZAF
South Africa,NA,13,NA,18,2015,all,NA,NA,NA,ZAF
